price,bedrooms,per_month
1999000.0,6.0,11723.0
399900.0,4.0,2399.0
359900.0,2.0,2260.0
109900.0,1.0,942.0
419000.0,6.0,2685.0
349900.0,2.0,2549.0
2750000.0,6.0,18930.0
750000.0,2.0,5066.0
620000.0,5.0,3855.0
489900.0,4.0,2925.0
550000.0,7.0,3692.0
450000.0,3.0,2613.0
899000.0,3.0,6429.0
369900.0,3.0,2470.0
499000.0,4.0,3253.0
599900.0,4.0,4177.0
995000.0,7.0,7123.0
422000.0,8.0,2669.0
1300000.0,4.0,13300.0
725000.0,4.0,4601.0
350000.0,8.0,2203.0
439800.0,6.0,3066.0
1159000.0,3.0,8473.0
335000.0,2.0,2997.0
385900.0,3.0,2518.0
299000.0,1.0,2813.0
424900.0,5.0,2610.0
129900.0,6.0,805.0
850000.0,3.0,6361.0
315000.0,5.0,1976.0
305000.0,3.0,2127.0
224900.0,4.0,1445.0
270000.0,5.0,1652.0
790000.0,4.0,5123.0
120000.0,3.0,839.0
1750000.0,3.0,11020.0
649900.0,4.0,4947.0
399900.0,3.0,2743.0
549000.0,2.0,3970.0
464900.0,2.0,4342.0
874900.0,3.0,6426.0
165000.0,3.0,1590.0
475000.0,2.0,4506.0
150000.0,1.0,1078.0
299000.0,1.0,2932.0
484900.0,2.0,4310.0
1989000.0,4.0,12785.0
775000.0,3.0,5609.0
490000.0,4.0,4093.0
525000.0,2.0,4554.0
785000.0,2.0,5320.0
350000.0,2.0,3263.0
226000.0,2.0,2259.0
225000.0,3.0,2072.0
390000.0,2.0,3022.0
445000.0,2.0,2753.0
1100000.0,4.0,6927.0
595000.0,3.0,4020.0
775000.0,3.0,6075.0
850000.0,3.0,6317.0
430000.0,7.0,3185.0
849000.0,3.0,6352.0
600000.0,4.0,5258.0
650000.0,7.0,4418.0
849900.0,3.0,5658.0
700000.0,2.0,4709.0
2400000.0,5.0,15373.0
550000.0,2.0,3595.0
499900.0,2.0,3283.0
500000.0,2.0,3437.0
1950000.0,5.0,12637.0
1399000.0,8.0,9131.0
1450000.0,5.0,9216.0
1695000.0,5.0,11770.0
429000.0,3.0,2848.0
1300000.0,4.0,8524.0
725000.0,5.0,4824.0
589000.0,4.0,4077.0
624900.0,2.0,4231.0
275000.0,2.0,1948.0
800000.0,3.0,5399.0
230000.0,2.0,1497.0
699000.0,2.0,4546.0
425000.0,2.0,2736.0
2795000.0,6.0,17838.0
,1.0,0.0
4100000.0,3.0,29543.0
475000.0,3.0,3062.0
899000.0,3.0,5661.0
310000.0,1.0,2117.0
995000.0,5.0,5502.0
2700000.0,5.0,18838.0
360000.0,3.0,2321.0
437500.0,2.0,3197.0
999000.0,3.0,6291.0
1550000.0,4.0,10398.0
420000.0,3.0,2837.0
359900.0,3.0,2913.0
749500.0,4.0,4952.0
2650000.0,5.0,17998.0
320000.0,1.0,3061.0
775000.0,3.0,6174.0
1100000.0,4.0,7068.0
775000.0,3.0,5177.0
700000.0,3.0,4893.0
759000.0,3.0,4883.0
450000.0,2.0,3332.0
2250000.0,7.0,14701.0
639000.0,3.0,4145.0
525000.0,2.0,3626.0
330000.0,4.0,2260.0
2495000.0,4.0,16519.0
1650000.0,5.0,11146.0
445000.0,3.0,3034.0
775000.0,3.0,5174.0
789000.0,4.0,5375.0
550000.0,2.0,4106.0
599000.0,3.0,4038.0
1200000.0,4.0,7855.0
235000.0,1.0,1664.0
575000.0,2.0,3946.0
589000.0,5.0,4152.0
325000.0,2.0,2169.0
550000.0,2.0,3666.0
700000.0,2.0,4799.0
,7.0,0.0
725000.0,5.0,4917.0
2400000.0,5.0,15681.0
500000.0,2.0,3502.0
225000.0,3.0,1589.0
2300000.0,5.0,14961.0
499900.0,2.0,3347.0
260000.0,3.0,1676.0
340000.0,1.0,2415.0
795000.0,5.0,4818.0
699000.0,4.0,5206.0
169000.0,8.0,1269.0
439000.0,3.0,3224.0
2325000.0,6.0,14939.0
330000.0,2.0,3440.0
425000.0,4.0,2741.0
350000.0,1.0,3273.0
430000.0,2.0,4307.0
300500.0,5.0,1866.0
340000.0,5.0,2141.0
785000.0,3.0,5465.0
749000.0,3.0,4718.0
649000.0,2.0,4929.0
2550000.0,5.0,15471.0
499950.0,4.0,3305.0
575000.0,3.0,4034.0
599000.0,2.0,4519.0
275000.0,3.0,2253.0
1175000.0,16.0,7519.0
349000.0,9.0,2503.0
,2.0,
490000.0,4.0,4156.0
350000.0,2.0,3308.0
299000.0,1.0,2970.0
225000.0,3.0,2101.0
775000.0,3.0,5708.0
595000.0,3.0,4096.0
600000.0,4.0,5334.0
750000.0,3.0,5901.0
359900.0,3.0,2959.0
650000.0,7.0,4502.0
499900.0,2.0,3628.0
585000.0,2.0,4233.0
450000.0,3.0,3691.0
1985000.0,5.0,13590.0
219000.0,2.0,1673.0
350000.0,2.0,3729.0
959000.0,3.0,6353.0
595000.0,12.0,3400.0
389000.0,3.0,4621.0
650000.0,2.0,4835.0
335000.0,2.0,2536.0
1195000.0,7.0,7342.0
525000.0,2.0,3900.0
375000.0,4.0,2592.0
