id,adult,title,video,overview,softcore,genre_ids,popularity,vote_count,poster_path,release_date,vote_average,backdrop_path,original_title,original_language
346,False,Seven Samurai,False,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",False,"[28, 18]",15.9948,4229,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg,1954-04-26,8.5,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,七人の侍,ja
12477,False,Grave of the Fireflies,False,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",False,"[16, 18, 10752]",0.0132,6516,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,1988-04-16,8.442,/aHaqZpOL7UyVu0nKqp3SMz0o2E1.jpg,火垂るの墓,ja
637,False,Life Is Beautiful,False,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,False,"[35, 18]",12.4033,13979,/6tEJnof1DKWPnl5lzkjf0FVv7oB.jpg,1997-12-20,8.438,/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg,La vita è bella,it
550,False,Fight Club,False,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",False,"[18, 53]",30.5189,32036,/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,1999-10-15,8.438,/xRyINp9KfMLVjRiO5nCsoRDdvvF.jpg,Fight Club,en
120,False,The Lord of the Rings: The Fellowship of the Ring,False,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",False,"[12, 14, 28]",33.1887,27540,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001-12-18,8.434,/a0lfia8tk8ifkrve0Tn8wkISUvs.jpg,The Lord of the Rings: The Fellowship of the Ring,en
14537,False,Harakiri,False,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",False,"[28, 18, 36]",9.53,1210,/3nPwMd3KviJWaHzG9fZCqlwWMas.jpg,1962-09-15,8.431,/e3hG3uadtcP0pYdRa5ch4ysQW76.jpg,切腹,ja
598,False,City of God,False,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",False,"[18, 80]",12.2137,8177,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,2002-08-30,8.429,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,Cidade de Deus,pt
1439930,False,The Punisher: One Last Kill,False,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",False,"[28, 18, 80]",394.6875,1230,/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,2026-05-12,8.424,/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,The Punisher: One Last Kill,en
11216,False,Cinema Paradiso,False,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",False,"[18, 10749]",11.9043,4820,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,1988-11-17,8.425,/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg,Nuovo Cinema Paradiso,it
121,False,The Lord of the Rings: The Two Towers,False,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",False,"[12, 14, 28]",20.2432,23873,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,2002-12-18,8.418,/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg,The Lord of the Rings: The Two Towers,en
539,False,Psycho,False,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",False,"[27, 53, 9648]",20.2633,10983,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,1960-06-22,8.413,/mufF1aYvwdpKerhq5R1YrVcbJLY.jpg,Psycho,en
40096,False,A Dog's Will,False,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",False,"[35, 18, 14, 10749]",4.8897,1222,/z9Au9XtK0ARzkKGsZCzMkmKgMPf.jpg,2000-09-15,8.412,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,O Auto da Compadecida,pt
510,False,One Flew Over the Cuckoo's Nest,False,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",False,[18],14.6463,11442,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,1975-11-19,8.412,/6Oa3zTiluBz2W8D2ou1MY16dUiF.jpg,One Flew Over the Cuckoo's Nest,en
667257,False,Impossible Things,False,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",False,"[10751, 18]",4.515,422,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,2021-06-17,8.395,/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg,Cosas imposibles,es
