id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.998941,4447394816,25,4447394816,54984410.0,0.99926,0.998564,5.388e-05,0.00539,398766.0,0.00897,4452039660.342706,4452039660.342706,,1.034,-3.39119,2025-12-09T17:10:12.652Z,0.929486,7.47425,2024-10-04T07:57:15.809Z,,2026-05-27T12:41:48.173Z,,,
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.99858,4376283258,26,4376283258,21253309.0,1.001,0.998548,-0.000949681176964368,-0.09501,21508908.0,0.49392,4377258377.045397,4377258377.045397,,1.22,-17.97914,2020-03-13T03:02:50.373Z,0.88196,13.35859,2023-03-11T07:50:50.514Z,,2026-05-27T12:41:49.362Z,,,
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,3.11,4056515214,27,16689618334,4798907.0,3.11,2.88,0.18513,6.33162,236547446.0,6.19239,1306018762.190513,5373320085.355469,10000000000.0,4.82,-35.46846,2026-04-24T01:10:07.284Z,0.04746135,6450.66097,2025-07-04T03:56:17.448Z,,2026-05-27T12:41:47.150Z,,,
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,52.39,4043762833,28,4044106541,218251040.0,52.99,51.67,-0.334132505598717,-0.63377,-27141687.580762863,-0.66672,77208645.73347135,77215208.23347135,84000000.0,410.26,-87.23424,2021-05-10T03:13:07.904Z,1.15,4458.74547,2015-01-14T00:00:00.000Z,,2026-05-27T12:41:45.355Z,,,
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.009,4041950819,29,10091207574,672671260.0,1.054,0.987674,-0.03144693286125233,-3.02131,-123278120.40841055,-2.9597,4005418369.566699,10000000000.0,10000000000.0,5.35,-81.12075,2025-01-04T22:56:18.063Z,0.364846,176.66225,2023-10-19T10:40:30.078Z,,2026-05-27T12:41:46.868Z,,,
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,9.2,3973032184,30,4264441457,169068486.0,9.46,9.06,-0.15530319788895497,-1.6595,-67716393.87619543,-1.67584,431771961.1772119,463441061.1772119,720000000.0,144.96,-93.6531,2021-11-21T14:18:56.538Z,2.8,228.46605,2020-12-31T13:15:21.540Z,,2026-05-27T12:41:44.814Z,,,
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.086284,3741947253,31,4313633981,49842896.0,0.089037,0.085579,-0.001984987467898283,-2.24878,-87774523.94635868,-2.29193,43373490533.32249,50000000000.0,50000000000.0,0.569229,-84.84428,2021-09-15T10:40:28.318Z,0.00986111,774.85808,2020-01-02T17:30:24.852Z,,2026-05-27T12:41:46.297Z,,,
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.999759,3437236183,32,3437236183,86116846.0,1.001,0.999309,-5.1778184110396e-05,-0.00518,-121918475.21871805,-3.42549,3438066646.676,3438066646.676,,1.081,-7.50618,2026-04-02T07:35:31.426Z,0.959426,4.19939,2024-12-05T22:31:13.430Z,,2026-05-27T12:41:58.038Z,,,
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.54,3288679565,33,3288679671,972175736.0,2.89,2.46,-0.23935213183651438,-8.62309,-309661534.3699384,-8.60567,1296616729.0,1296616771.0,,20.44,-87.5911,2022-01-16T22:09:45.873Z,0.526762,381.45919,2020-11-04T16:09:15.137Z,,2026-05-27T12:41:52.912Z,,,
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,5.52e-06,3255162018,34,3256579711,145159418.0,5.65e-06,5.48e-06,-7.761363508e-08,-1.38546,-47179071.247493744,-1.42866,589243255325781.1,589499883414968.6,,8.616e-05,-93.58814,2021-10-28T03:54:55.568Z,5.6366e-11,9800750.04147,2020-11-28T11:26:25.838Z,,2026-05-27T12:41:56.649Z,,,
