damage,alignment,num_units,street_no,crash_hour,crash_type,crash_month,report_type,road_defect,street_name,hit_and_run_i,injuries_fatal,injuries_total,work_zone_type,trafficway_type,device_condition,first_crash_type,injuries_unknown,street_direction,crash_day_of_week,weather_condition,beat_of_occurrence,lighting_condition,most_severe_injury,posted_speed_limit,roadway_surface_cond,injuries_no_indication,intersection_related_i,sec_contributory_cause,traffic_control_device,injuries_incapacitating,prim_contributory_cause,injuries_non_incapacitating,injuries_reported_not_evident
1,3,2.0,895,15,1,9,2,1,501,1,0.0,0.0,,11,2,7,0.0,3,4,1,1654,3,2,10,0,1.0,1,24,3,0.0,21,0.0,0.0
2,3,1.0,1,20,0,8,2,1,512,1,0.0,0.0,,10,2,2,0.0,3,3,1,1654,1,2,10,0,1.0,1,31,3,0.0,12,0.0,0.0
1,3,2.0,5500,1,1,10,2,5,631,1,0.0,0.0,,6,1,16,0.0,2,6,1,225,1,2,25,0,2.0,1,31,14,0.0,26,0.0,0.0
0,3,2.0,1,2,1,9,2,1,515,1,0.0,0.0,,12,2,7,0.0,3,7,6,1654,1,2,10,5,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,163,14,0,8,2,1,155,1,0.0,1.0,,10,1,10,0.0,1,4,1,1654,3,4,30,0,3.0,1,24,14,0.0,17,0.0,1.0
2,3,2.0,6299,5,1,12,1,5,394,1,0.0,0.0,,3,1,10,0.0,2,1,6,331,1,2,45,5,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,7198,0,0,12,2,1,126,1,0.0,1.0,,6,1,16,0.0,3,1,6,811,1,3,35,5,1.0,1,6,14,0.0,24,1.0,0.0
2,3,2.0,10020,17,1,12,2,1,143,1,0.0,0.0,,3,1,16,0.0,3,4,1,1654,1,2,35,0,3.0,1,31,14,0.0,22,0.0,0.0
1,3,2.0,5500,23,1,12,2,1,631,1,0.0,0.0,,6,1,16,0.0,2,6,1,225,1,2,30,0,2.0,1,15,14,0.0,6,0.0,0.0
1,3,2.0,1,6,1,12,2,1,600,1,0.0,0.0,,11,2,10,0.0,3,7,1,1651,1,2,30,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,6800,14,1,11,2,1,201,1,0.0,0.0,,3,2,15,0.0,2,4,1,322,3,2,55,0,2.0,1,24,3,0.0,23,0.0,0.0
0,3,2.0,524,4,0,9,2,1,501,1,0.0,1.0,,11,2,9,0.0,3,5,1,1654,1,3,20,0,1.0,1,24,3,0.0,23,1.0,0.0
2,3,2.0,1,5,1,8,2,5,518,1,0.0,0.0,,12,2,14,0.0,3,5,1,1654,1,2,10,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1312,20,1,9,2,1,92,1,0.0,0.0,,12,2,11,0.0,0,6,1,411,3,2,30,0,2.0,1,24,3,0.0,21,0.0,0.0
0,3,2.0,764,9,1,11,2,1,501,1,0.0,0.0,,15,1,10,0.0,3,6,1,1654,3,2,25,0,2.0,1,24,14,0.0,33,0.0,0.0
1,5,2.0,3201,9,1,12,2,1,340,1,0.0,0.0,,8,1,0,0.0,3,5,1,2411,3,2,30,0,2.0,1,24,14,0.0,35,0.0,0.0
2,3,1.0,12655,20,0,9,2,1,588,1,0.0,2.0,,8,1,2,0.0,2,1,1,532,1,4,30,0,0.0,0,24,14,0.0,26,0.0,2.0
1,3,2.0,660,20,1,10,2,1,501,1,0.0,0.0,,13,1,11,0.0,3,5,1,1654,1,2,5,0,2.0,1,31,3,0.0,21,0.0,0.0
1,3,2.0,12700,17,0,8,1,1,355,1,0.0,1.0,,3,1,10,0.0,3,6,1,1654,3,4,40,0,2.0,1,31,14,0.0,33,0.0,1.0
1,0,2.0,13,9,1,9,2,1,348,1,0.0,0.0,,11,2,15,0.0,3,3,6,1654,3,2,35,5,2.0,1,25,3,0.0,23,0.0,0.0
2,3,2.0,5500,9,1,9,2,1,631,1,0.0,0.0,,10,1,16,0.0,2,2,1,225,3,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
1,3,2.0,6298,0,1,9,2,1,394,1,0.0,0.0,,6,1,0,0.0,2,7,1,331,1,2,30,0,2.0,1,25,14,0.0,26,0.0,0.0
2,3,3.0,2800,14,0,9,2,5,380,1,0.0,2.0,,19,1,0,0.0,1,4,1,1412,3,3,30,0,2.0,1,24,14,0.0,6,2.0,0.0
2,3,2.0,12500,18,1,8,1,1,355,1,0.0,0.0,,15,1,10,0.0,3,3,1,1654,3,2,40,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,170,4,1,9,2,1,155,1,0.0,0.0,,10,1,10,0.0,1,2,1,1654,1,2,35,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,11,7,0,9,2,1,155,1,0.0,3.0,,6,1,16,0.0,1,1,1,1654,3,1,30,0,4.0,1,16,14,1.0,18,2.0,0.0
1,3,2.0,3947,15,1,9,1,1,257,1,0.0,0.0,,10,2,7,0.0,2,1,1,214,3,2,30,0,1.0,1,31,3,0.0,22,0.0,0.0
2,3,2.0,5710,9,0,9,1,1,631,0,0.0,0.0,,2,1,10,0.0,2,5,1,232,3,2,30,0,3.0,1,24,13,0.0,19,0.0,0.0
2,3,2.0,10000,18,1,11,1,1,143,1,0.0,0.0,,11,2,7,0.0,3,2,1,1654,4,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,5500,11,1,2,1,1,319,1,0.0,0.0,,3,1,0,0.0,1,1,1,1613,3,2,30,0,2.0,1,24,13,0.0,18,0.0,0.0
1,4,2.0,2,3,1,8,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,7,1,1654,1,2,10,0,1.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,8700,16,1,9,1,1,201,1,0.0,0.0,,3,1,11,0.0,2,3,6,412,3,2,50,5,3.0,1,31,5,0.0,33,0.0,0.0
2,3,2.0,2000,19,1,9,1,5,425,1,0.0,0.0,,8,2,7,0.0,2,5,6,1235,3,2,25,5,1.0,1,31,3,0.0,33,0.0,0.0
2,3,1.0,7318,9,1,8,2,1,613,1,0.0,0.0,,0,2,2,0.0,2,3,1,731,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,1198,5,0,9,2,1,401,1,0.0,1.0,,8,1,16,0.0,2,4,1,1522,1,3,30,0,1.0,1,15,14,0.0,18,1.0,0.0
2,3,2.0,3,18,1,11,1,1,600,1,0.0,0.0,,10,2,16,0.0,3,4,1,1653,1,2,20,0,2.0,1,24,3,0.0,24,0.0,0.0
2,3,2.0,5599,17,0,11,2,1,482,1,0.0,0.0,,15,2,0,0.0,1,2,1,1613,1,2,30,0,5.0,1,16,13,0.0,18,0.0,0.0
2,0,1.0,6324,7,0,12,2,1,200,1,0.0,0.0,,13,2,6,0.0,2,3,1,312,3,2,55,0,1.0,1,24,3,0.0,17,0.0,0.0
2,3,2.0,8316,10,1,12,2,1,217,1,0.0,0.0,,17,2,7,0.0,2,4,1,424,3,2,30,0,1.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,3,9,1,12,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,6,1,1653,3,2,25,0,2.0,1,16,3,0.0,22,0.0,0.0
2,3,2.0,3,7,1,12,2,1,600,1,0.0,0.0,,11,2,16,0.0,3,4,1,1653,3,2,30,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,6500,17,1,12,2,1,442,1,0.0,0.0,,6,1,16,0.0,1,7,1,1654,1,2,30,0,2.0,1,24,14,0.0,19,0.0,0.0
2,3,2.0,10020,0,1,12,2,1,143,1,0.0,0.0,,12,2,15,0.0,3,2,1,1654,1,2,15,0,2.0,1,31,3,0.0,22,0.0,0.0
2,2,2.0,3,18,1,11,2,1,600,1,0.0,0.0,,11,2,15,0.0,3,2,6,1653,1,2,20,5,2.0,1,16,3,0.0,12,0.0,0.0
1,3,2.0,2,16,1,8,2,1,600,1,0.0,0.0,,10,3,15,0.0,3,6,1,1652,3,2,25,0,2.0,1,20,3,0.0,18,0.0,0.0
1,3,2.0,10400,12,1,11,1,1,201,1,0.0,0.0,,3,2,15,0.0,2,2,1,432,3,2,55,0,2.0,1,24,3,0.0,33,0.0,0.0
1,3,2.0,7828,11,1,10,2,5,383,1,0.0,0.0,,10,2,10,0.0,2,5,1,421,3,2,30,0,2.0,1,24,15,0.0,25,0.0,0.0
