popularity_class,tag_count,platform_count,description_length,title_length,is_free,price,genre_Action,genre_Adventure,genre_Card Game,genre_Educational,genre_Fighting,genre_Interactive Fiction,genre_Platformer,genre_Puzzle,genre_Racing,genre_Rhythm,genre_Role Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Survival,genre_Unknown,genre_Visual Novel,platform_Android,platform_Flash,platform_HTML5,platform_Unknown,platform_Windows
Low,8,3,2506,18,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Medium,6,1,230,28,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Low,10,4,1331,15,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Medium,6,1,162,4,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Low,8,1,668,17,1,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Low,3,4,376,12,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Low,9,2,1446,8,1,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Low,9,1,4034,20,1,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Low,8,3,1576,16,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Medium,9,4,601,14,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Low,3,1,254,20,1,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Medium,10,4,944,32,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
High,6,3,315,22,1,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Medium,5,2,955,13,1,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Low,9,2,457,23,1,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Low,2,1,96,12,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Low,4,3,730,10,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Low,9,3,3585,10,1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
