price,address,bedrooms,per_month
"$659,000","1632 W Erie St #3 , Chicago, IL 60622",2.0,"$4,806 per month"
"$425,000","4846 W Foster Ave , Chicago, IL 60630",3.0,"$3,037 per month"
"$160,000","11036 S Kilpatrick Ave Unit 3SE , Oak Lawn, IL 60453",2.0,"$1,243 per month"
"$439,900","5610 N Ottawa Ave , Chicago, IL 60631",4.0,"$2,987 per month"
"$549,900","3505 N Nottingham Ave , Chicago, IL 60634",4.0,"$3,769 per month"
"$539,000","6461 W Raven St , Chicago, IL 60631",5.0,"$3,432 per month"
"$569,000","4133 W Melrose St , Chicago, IL 60641",7.0,"$3,787 per month"
"$239,999","10339 S Calumet Ave , Chicago, IL 60628",3.0,"$1,604 per month"
"$400,000","873 N Larrabee St #312 , Chicago, IL 60610",2.0,"$3,398 per month"
"$275,000","4178 S Drexel Blvd #2 , Chicago, IL 60653",2.0,"$2,555 per month"
"$299,000","4650 N Saint Louis Ave Unit 1D , Chicago, IL 60625",2.0,"$2,329 per month"
"$1,200,000","3700 N Lake Shore Dr #702 , Chicago, IL 60613",4.0,"$9,140 per month"
"$475,000","5742 S Rutherford Ave , Chicago, IL 60638",3.0,"$3,057 per month"
"$625,000","922 W Carmen Ave Unit 3W , Chicago, IL 60640",3.0,"$4,654 per month"
"$400,000","2710 W Haddon Ave #2 , Chicago, IL 60622",3.0,"$2,924 per month"
"$850,000","2323 N Leavitt St #101 , Chicago, IL 60647",3.0,"$6,490 per month"
"$140,000","10031 S Forest Ave , Chicago, IL 60628",3.0,"$1,082 per month"
"$199,900","2218 N Newland Ave #401 , Chicago, IL 60707",2.0,"$1,609 per month"
"$560,000","3656 S Seeley Ave , Chicago, IL 60609",5.0,"$3,474 per month"
"$475,000","2022 N Wood St Unit 3N , Chicago, IL 60614",2.0,"$3,489 per month"
"$3,998,000","2658 N Mildred Ave , Chicago, IL 60614",6.0,"$26,175 per month"
"$329,000","3839 N Wilton Ave N #1 , Chicago, IL 60613",2.0,"$2,531 per month"
"$590,000","939 N Harding Ave , Chicago, IL 60651",4.0,"$3,725 per month"
"$460,000","3125 W Fullerton Ave #219 , Chicago, IL 60647",2.0,"$3,712 per month"
"$599,000","2712 W Saint Helen St , Chicago, IL 60647",3.0,"$4,176 per month"
"$375,000","5362 W Lawrence Ave Unit 2W , Chicago, IL 60630",3.0,"$2,790 per month"
"$185,000","3900 N Lake Shore Dr Unit 9B , Chicago, IL 60613",1.0,"$2,207 per month"
"$450,000","3709 W Palmer St , Chicago, IL 60647",4.0,"$3,060 per month"
"$1,999,000","1619 W Summerdale Ave , Chicago, IL 60640",6.0,"$11,723 per month"
"$399,900","909 N Lockwood Ave , Chicago, IL 60651",4.0,"$2,399 per month"
"$359,900","6317 N Lowell Ave , Chicago, IL 60646",2.0,"$2,260 per month"
"$109,900","5241 N East River Rd Unit 1B , Chicago, IL 60656",1.0,$942 per month
"$419,000","3339 S Bell Ave , Chicago, IL 60608",6.0,"$2,685 per month"
"$349,900","5691 W Higgins Ave Unit 2W , Chicago, IL 60630",2.0,"$2,549 per month"
"$2,750,000","2743 N Dayton St , Chicago, IL 60614",6.0,"$18,930 per month"
"$750,000","623 W Drummond Pl #3 , Chicago, IL 60614",2.0,"$5,066 per month"
"$620,000","3052 N Major Ave , Chicago, IL 60634",5.0,"$3,855 per month"
"$489,900","5224 W Deming Pl , Chicago, IL 60639",4.0,"$2,925 per month"
"$550,000","6840 W Diversey Ave , Chicago, IL 60707",7.0,"$3,692 per month"
"$450,000","2747 W Lunt Ave , Chicago, IL 60645",3.0,"$2,613 per month"
"$899,000","2740 N Janssen Ave , Chicago, IL 60614",3.0,"$6,429 per month"
"$369,900","5304 S Mulligan Ave , Chicago, IL 60638",3.0,"$2,470 per month"
"$499,000","5339 W Berenice Ave , Chicago, IL 60641",4.0,"$3,253 per month"
"$599,900","1412 W Fuller St , Chicago, IL 60608",4.0,"$4,177 per month"
"$995,000","832 W Junior Ter , Chicago, IL 60613",7.0,"$7,123 per month"
"$422,000","7118 S Mozart St , Chicago, IL 60629",8.0,"$2,669 per month"
"$1,300,000","200 E Delaware Pl Unit 8C-9C , Chicago, IL 60611",4.0,"$13,300 per month"
"$725,000","5455 W Roscoe St , Chicago, IL 60641",4.0,"$4,601 per month"
"$350,000","5826 S Sacramento Ave , Chicago, IL 60629",8.0,"$2,203 per month"
"$439,800","2936 N Kenneth Ave , Chicago, IL 60641",6.0,"$3,066 per month"
"$1,159,000","2717 N Lehmann Ct Unit 1A , Chicago, IL 60614",3.0,"$8,473 per month"
"$335,000","901 S Plymouth Ct #702 , Chicago, IL 60605",2.0,"$2,997 per month"
"$385,900","6122 N Winthrop Ave Unit B , Chicago, IL 60660",3.0,"$2,518 per month"
"$299,000","211 E Ohio St #2915 , Chicago, IL 60611",1.0,"$2,813 per month"
"$424,900","2825 W 84 Pl , Chicago, IL 60652",5.0,"$2,610 per month"
"$129,900","11941 S La Salle St , Chicago, IL 60628",6.0,$805 per month
"$850,000","4150 S Western Ave , Chicago, IL 60609",3.0,"$6,361 per month"
"$315,000","7631 S Ada St , Chicago, IL 60620",5.0,"$1,976 per month"
"$305,000","8753 S Kostner Ave , Hometown, IL 60456",3.0,"$2,127 per month"
"$224,900","57 W 78th Pl , Chicago, IL 60620",4.0,"$1,445 per month"
"$270,000","Undisclosed Address , Chicago, IL 60628",5.0,"$1,652 per month"
"$790,000","11241 S Central Park Ave , Chicago, IL 60655",4.0,"$5,123 per month"
"$120,000","7843 S Yates Blvd , Chicago, IL 60649",3.0,$839 per month
"$1,750,000","2468 N Orchard St Unit M-S , Chicago, IL 60614",3.0,"$11,020 per month"
"$649,900","3918 S King Dr Unit 1S , Chicago, IL 60653",4.0,"$4,947 per month"
