wins,goals_for,team_name,win_percent,goals_against,goal_difference
0.4565217391304348,0.7008196721311475,2,0.47275922671353254,0.6354515050167224,
0.5652173913043478,0.540983606557377,3,0.5817223198594025,0.4046822742474917,
0.7391304347826088,0.7131147540983607,0,0.7574692442882252,0.4983277591973244,
0.4565217391304348,0.6844262295081966,1,0.47275922671353254,0.5451505016722408,
0.782608695652174,0.8975409836065573,2,0.8014059753954305,0.49498327759197325,
0.8478260869565218,0.651639344262295,3,0.8681898066783832,0.3210702341137124,
0.5217391304347826,0.6065573770491803,5,0.5377855887521968,0.6120401337792643,
0.5869565217391305,0.6024590163934427,6,0.6045694200351495,0.5250836120401338,
0.4565217391304348,0.46311475409836067,8,0.47275922671353254,0.5384615384615384,
0.782608695652174,0.8811475409836065,9,0.8014059753954305,0.46488294314381273,
0.5217391304347826,0.680327868852459,14,0.5377855887521968,0.6153846153846154,
0.8695652173913043,0.8032786885245902,15,0.889279437609842,0.4381270903010034,
0.4782608695652174,0.5204918032786885,17,0.4938488576449913,0.5284280936454849,
0.6304347826086957,0.8934426229508197,18,0.6467486818980668,0.6454849498327759,
0.21739130434782608,0.5327868852459017,19,0.2302284710017575,0.6789297658862876,
0.15217391304347824,0.38524590163934425,20,0.16344463971880493,0.8160535117056857,
0.5652173913043478,0.6311475409836065,21,0.5817223198594025,0.5050167224080268,
0.4347826086956522,0.44672131147540983,23,0.44991212653778556,0.5986622073578596,
0.6956521739130435,0.6557377049180328,24,0.7135325131810194,0.45150501672240806,
0.7608695652173914,0.8401639344262295,25,0.7785588752196838,0.5351170568561873,
0.5,0.5163934426229508,26,0.5149384885764499,0.43143812709030105,
0.891304347826087,0.848360655737705,0,0.8576449912126539,0.5117056856187291,
0.6086956521739131,0.860655737704918,1,0.585237258347979,0.6086956521739131,
0.717391304347826,0.8073770491803278,2,0.6906854130052725,0.5585284280936456,
0.8043478260869564,0.6311475409836065,3,0.7750439367311074,0.3846153846153846,
0.8043478260869564,1.0,5,0.7750439367311074,0.5518394648829431,
0.34782608695652173,0.4795081967213115,6,0.335676625659051,0.7424749163879598,
0.34782608695652173,0.651639344262295,8,0.335676625659051,0.8494983277591974,
0.6304347826086957,0.8729508196721312,9,0.6063268892794377,0.7525083612040133,
0.3695652173913043,0.5368852459016393,11,0.3848857644991214,0.5050167224080268,
0.7391304347826088,0.7131147540983607,0,0.7574692442882252,0.4983277591973244,
0.4565217391304348,0.6844262295081966,1,0.47275922671353254,0.5451505016722408,
0.782608695652174,0.8975409836065573,2,0.8014059753954305,0.49498327759197325,
0.8478260869565218,0.651639344262295,3,0.8681898066783832,0.3210702341137124,
0.5217391304347826,0.6065573770491803,5,0.5377855887521968,0.6120401337792643,
0.5869565217391305,0.6024590163934427,6,0.6045694200351495,0.5250836120401338,
0.4565217391304348,0.46311475409836067,8,0.47275922671353254,0.5384615384615384,
0.782608695652174,0.8811475409836065,9,0.8014059753954305,0.46488294314381273,
0.3695652173913043,0.5368852459016393,11,0.3848857644991214,0.5050167224080268,
0.6304347826086957,0.6065573770491803,12,0.6467486818980668,0.4481605351170569,
0.4782608695652174,0.6024590163934427,13,0.4938488576449913,0.4983277591973244,
0.32608695652173914,0.4016393442622951,14,0.3391915641476274,0.5852842809364549,
0.5652173913043478,0.7049180327868851,15,0.5817223198594025,0.5016722408026756,
0.5,0.5204918032786885,17,0.5149384885764499,0.5083612040133779,
0.6739130434782609,0.889344262295082,18,0.6906854130052725,0.6354515050167224,
0.13043478260869565,0.45491803278688525,19,0.14235500878734628,0.7993311036789297,
0.8043478260869564,0.7581967213114753,21,0.8242530755711776,0.45150501672240806,
0.28260869565217395,0.47540983606557374,23,0.29525483304042177,0.6789297658862876,
0.39130434782608703,0.48360655737704916,24,0.4059753954305799,0.6688963210702341,
0.5869565217391305,0.5450819672131146,25,0.6045694200351495,0.4782608695652174,
0.34782608695652173,0.5532786885245902,26,0.3620386643233744,0.5785953177257526,
0.5652173913043478,0.5942622950819672,0,0.5817223198594025,0.5351170568561873,
