wins,losses,goals_for,team_name,goals_against,goal_difference
0.8867924528301887,0.16666666666666666,0.9921259842519684,25,0.5117056856187291,0.8676470588235294
0.7169811320754716,0.2666666666666667,0.9291338582677166,26,0.6187290969899666,0.7264705882352941
0.037735849056603765,1.0,0.4055118110236221,27,1.0,0.0
0.5283018867924528,0.41666666666666663,0.65748031496063,28,0.5451505016722408,0.588235294117647
0.26415094339622636,0.7166666666666667,0.5118110236220472,29,0.725752508361204,0.3205882352941176
0.660377358490566,0.30000000000000004,0.6811023622047244,30,0.42140468227424754,0.7147058823529411
0.6981132075471698,0.30000000000000004,0.9094488188976378,31,0.5451505016722408,0.776470588235294
0.6415094339622641,0.3833333333333333,0.8267716535433071,32,0.5719063545150502,0.6911764705882353
0.5849056603773585,0.43333333333333335,0.8149606299212598,33,0.68561872909699,0.5823529411764705
0.4528301886792453,0.5833333333333333,0.44881889763779526,14,0.4548494983277592,0.5117647058823529
0.6226415094339622,0.30000000000000004,0.6850393700787402,1,0.4581939799331104,0.6852941176470588
0.6415094339622641,0.35,0.65748031496063,2,0.34448160535117056,0.7647058823529411
0.6226415094339622,0.30000000000000004,0.7362204724409448,3,0.47157190635451507,0.7117647058823529
0.5660377358490566,0.41666666666666663,0.547244094488189,5,0.4180602006688964,0.6176470588235293
0.6226415094339622,0.30000000000000004,0.6732283464566929,8,0.5016722408026756,0.638235294117647
0.6981132075471698,0.31666666666666665,0.9488188976377953,9,0.5351170568561873,0.8147058823529412
0.30188679245283023,0.5666666666666667,0.5748031496062992,10,0.6354515050167224,0.44705882352941173
0.4528301886792453,0.3833333333333333,0.46456692913385833,11,0.3946488294314382,0.5764705882352941
0.339622641509434,0.6166666666666667,0.4409448818897638,12,0.5785953177257526,0.3970588235294117
0.339622641509434,0.5666666666666667,0.7047244094488189,13,0.6923076923076923,0.4941176470588235
0.6037735849056604,0.30000000000000004,0.6614173228346457,17,0.4448160535117057,0.6794117647058823
0.7169811320754716,0.23333333333333336,0.751968503937008,19,0.3511705685618729,0.8294117647058823
0.5094339622641509,0.41666666666666663,0.65748031496063,20,0.4983277591973244,0.6294117647058823
0.8113207547169812,0.2166666666666667,0.7244094488188976,21,0.38795986622073586,0.776470588235294
0.09433962264150944,0.8333333333333333,0.3385826771653544,22,0.9431438127090301,0.0
0.49056603773584906,0.4666666666666667,0.7047244094488189,23,0.6655518394648829,0.5176470588235293
0.660377358490566,0.2666666666666667,0.7244094488188976,25,0.5685618729096991,0.6176470588235293
0.4716981132075472,0.5166666666666666,0.6377952755905513,26,0.5919732441471572,0.5323529411764706
0.4528301886792453,0.4,0.5393700787401575,27,0.5016722408026756,0.538235294117647
0.5849056603773585,0.3666666666666667,0.6102362204724409,28,0.5618729096989967,0.538235294117647
0.39622641509433965,0.5333333333333333,0.42913385826771655,29,0.4548494983277592,0.4970588235294117
0.6415094339622641,0.30000000000000004,0.6496062992125985,30,0.4280936454849499,0.6852941176470588
0.6037735849056604,0.4833333333333333,0.6456692913385828,31,0.5384615384615384,0.5852941176470587
0.5660377358490566,0.4,0.6377952755905513,32,0.49498327759197325,0.6176470588235293
0.28301886792452835,0.6666666666666666,0.5118110236220472,33,0.765886287625418,0.28529411764705875
0.1320754716981132,0.2666666666666667,0.03937007874015752,14,0.16387959866220736,0.4617647058823529
0.339622641509434,0.11666666666666667,0.13779527559055116,1,0.040133779264214076,0.6441176470588235
0.2452830188679245,0.13333333333333333,0.05905511811023623,2,0.013377926421404729,0.6088235294117647
0.28301886792452835,0.1,0.1889763779527559,3,0.06688963210702342,0.6588235294117647
0.28301886792452835,0.13333333333333333,0.16141732283464572,5,0.0,0.6970588235294117
0.1509433962264151,0.19999999999999998,0.08267716535433067,8,0.06688963210702342,0.5794117647058823
0.4528301886792453,0.0,0.2559055118110236,9,0.006688963210702392,0.7617647058823529
0.1509433962264151,0.2666666666666667,0.08267716535433067,10,0.22742474916387967,0.438235294117647
0.20754716981132074,0.18333333333333332,0.0,11,0.040133779264214076,0.5411764705882353
0.18867924528301885,0.2166666666666667,0.047244094488189003,12,0.08695652173913049,0.5352941176470588
0.1320754716981132,0.19999999999999998,0.10629921259842523,13,0.19732441471571904,0.48235294117647054
0.16981132075471697,0.19999999999999998,0.03937007874015752,17,0.11036789297658867,0.5088235294117647
0.2452830188679245,0.11666666666666667,0.08267716535433067,19,0.020066889632107066,0.6205882352941176
0.11320754716981132,0.2833333333333333,0.04330708661417326,20,0.14381270903010035,0.48235294117647054
0.2452830188679245,0.19999999999999998,0.09448818897637801,21,0.06354515050167225,0.5911764705882352
0.0,0.3833333333333333,0.007874015748031538,22,0.19732441471571904,0.4088235294117647
0.3584905660377359,0.08333333333333334,0.13779527559055116,23,0.05685618729096992,0.6294117647058823
0.37735849056603776,0.08333333333333334,0.25984251968503935,25,0.14381270903010035,0.6441176470588235
0.39622641509433965,0.033333333333333354,0.27559055118110243,26,0.06354515050167225,0.7264705882352941
0.18867924528301885,0.23333333333333336,0.055118110236220486,27,0.15384615384615385,0.48235294117647054
0.3584905660377359,0.06666666666666668,0.24803149606299213,28,0.06688963210702342,0.7029411764705882
0.1509433962264151,0.2833333333333333,0.01968503937007876,29,0.09698996655518399,0.5058823529411764
0.22641509433962262,0.13333333333333333,0.07874015748031493,30,0.10367892976588633,0.5441176470588235
0.16981132075471697,0.11666666666666667,0.1496062992125985,31,0.11036789297658867,0.5911764705882352
0.2452830188679245,0.11666666666666667,0.08267716535433067,32,0.016722408026755897,0.6235294117647059
0.1320754716981132,0.23333333333333336,0.16535433070866146,33,0.20735785953177255,0.5176470588235293
0.49056603773584906,0.4666666666666667,0.46850393700787407,14,0.44147157190635455,0.538235294117647
0.5849056603773585,0.33333333333333326,0.65748031496063,1,0.5150501672240803,0.6147058823529411
0.4528301886792453,0.5166666666666666,0.5196850393700787,2,0.4916387959866221,0.5323529411764706
0.4716981132075472,0.43333333333333335,0.49606299212598426,3,0.4180602006688964,0.5794117647058823
